Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1954,20,MLN,NL,122,509,468,58,131,27,6,13,69,2,2,28,39,.280,.322,.447,.769,104,209,13,3,6,4,0,*79/H,RoY-4
1955,21,MLN,NL,153,665,602,105,189,37,9,27,106,3,1,49,61,.314,.366,.540,.906,141,325,20,3,7,4,5,*974/H,ASMVP-9
1956,22,MLN,NL,153,660,609,106,200,34,14,26,92,2,4,37,54,.328,.365,.558,.923,151,340,21,2,5,7,6,*9/H,ASMVP-3
1957,23,MLN,NL,151,675,615,118,198,27,6,44,132,1,1,57,58,.322,.378,.600,.978,166,369,13,0,0,3,15,*98/H,ASMVP-1
1958,24,MLN,NL,153,664,601,109,196,34,4,30,95,4,1,59,49,.326,.386,.546,.931,153,328,21,1,0,3,16,*98,ASMVP-3GG
1959,25,MLN,NL,154,693,629,116,223,46,7,39,123,8,0,51,54,.355,.401,.636,1.037,183,400,19,4,0,9,17,*98/5,ASASMVP-3GG
1960,26,MLN,NL,153,664,590,102,172,20,11,40,126,16,7,60,63,.292,.352,.566,.919,156,334,8,2,0,12,13,*9/84,ASASMVP-11GG
1961,27,MLN,NL,155,671,603,115,197,39,10,34,120,21,9,56,64,.327,.381,.594,.974,163,358,16,2,1,9,20,*89/5H,ASASMVP-8
1962,28,MLN,NL,156,667,592,127,191,28,6,45,128,15,7,66,73,.323,.390,.618,1.008,170,366,14,3,0,6,14,*89/H3,ASASMVP-6
1963,29,MLN,NL,161,714,631,121,201,29,4,44,130,31,5,78,94,.319,.391,.586,.977,179,370,11,0,0,5,18,*9,ASMVP-3
1964,30,MLN,NL,145,634,570,103,187,30,2,24,95,22,4,62,46,.328,.393,.514,.907,153,293,22,0,0,2,9,*94/H,ASMVP-14
1965,31,MLN,NL,150,639,570,109,181,40,1,32,89,24,4,60,81,.318,.379,.560,.938,161,319,15,1,0,8,10,*9/H,ASMVP-7
1966,32,ATL,NL,158,688,603,117,168,23,1,44,127,21,3,76,96,.279,.356,.539,.895,142,325,14,1,0,8,15,*9/84H,ASMVP-8
1967,33,ATL,NL,155,669,600,113,184,37,3,39,109,17,6,63,97,.307,.369,.573,.943,168,344,11,0,0,6,19,*98/H4,ASMVP-5
1968,34,ATL,NL,160,676,606,84,174,33,4,29,86,28,5,64,62,.287,.354,.498,.852,153,302,21,1,0,5,23,*93/H,ASMVP-12
1969,35,ATL,NL,147,639,547,100,164,30,3,44,97,9,10,87,47,.300,.396,.607,1.003,177,332,14,2,0,3,19,*9/3H,ASMVP-3
1970,36,ATL,NL,150,598,516,103,154,26,1,38,118,9,0,74,63,.298,.385,.574,.958,149,296,13,2,0,6,15,*9H3,ASMVP-17
1971,37,ATL,NL,139,573,495,95,162,22,3,47,118,1,1,71,58,.327,.410,.669,1.079,194,331,9,2,0,5,21,39H,ASMVP-3
1972,38,ATL,NL,129,545,449,75,119,10,0,34,77,4,0,92,55,.265,.390,.514,.904,147,231,17,1,0,2,15,*39/H,ASMVP-16
1973,39,ATL,NL,120,465,392,84,118,12,1,40,96,1,1,68,51,.301,.402,.643,1.045,177,252,7,1,0,4,13,79H,ASMVP-12
1974,40,ATL,NL,112,382,340,47,91,16,0,20,69,1,0,39,29,.268,.341,.491,.832,128,167,6,0,1,2,6,7H,AS
1975,41,MIL,AL,137,543,465,45,109,16,2,12,60,0,1,70,51,.234,.332,.355,.687,95,165,15,1,1,6,3,*D/H7,AS
1976,42,MIL,AL,85,308,271,22,62,8,0,10,35,0,1,35,38,.229,.315,.369,.684,102,100,8,0,0,2,1,DH/7,
23 Yrs,23 Yrs,23 Yrs,23 Yrs,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,.305,.374,.555,.928,155,6856,328,32,21,121,293,,
